Postcode;Plaatsnaam;Deelgemeente;Hoofdgemeente;Provincie
1190;VORST;Neen;VORST;Brussel (19 gemeenten)
1200;SINT-LAMBRECHTS-WOLUWE;Neen;SINT-LAMBRECHTS-WOLUWE;Brussel (19 gemeenten)
1210;SINT-JOOST-TEN-NOODE;Neen;SINT-JOOST-TEN-NOODE;Brussel (19 gemeenten)
1212;FOD Mobiliteit;;FOD Mobiliteit;
1300;Limal;Ja;WAVRE;Waals-Brabant
1300;WAVRE;Neen;WAVRE;Waals-Brabant
1301;Bierges;Ja;WAVRE;Waals-Brabant
1310;LA HULPE;Neen;LA HULPE;Waals-Brabant
1315;Glimes;Ja;INCOURT;Waals-Brabant
1315;INCOURT;Neen;INCOURT;Waals-Brabant
1315;Opprebais;Ja;INCOURT;Waals-Brabant
1315;Piétrebais;Ja;INCOURT;Waals-Brabant
1315;Roux-Miroir;Ja;INCOURT;Waals-Brabant
1320;BEAUVECHAIN;Neen;BEAUVECHAIN;Waals-Brabant
1320;Hamme-Mille;Ja;BEAUVECHAIN;Waals-Brabant
1320;L'Ecluse;Ja;BEAUVECHAIN;Waals-Brabant
1320;Nodebais;Ja;BEAUVECHAIN;Waals-Brabant
1320;Tourinnes-La-Grosse;Ja;BEAUVECHAIN;Waals-Brabant
1325;Bonlez;Ja;CHAUMONT-GISTOUX;Waals-Brabant
1325;CHAUMONT-GISTOUX;Neen;CHAUMONT-GISTOUX;Waals-Brabant
1325;Corroy-Le-Grand;Ja;CHAUMONT-GISTOUX;Waals-Brabant
1325;Dion-Valmont;Ja;CHAUMONT-GISTOUX;Waals-Brabant
1325;Longueville;Ja;CHAUMONT-GISTOUX;Waals-Brabant
1330;RIXENSART;Neen;RIXENSART;Waals-Brabant
1331;Rosières;Ja;RIXENSART;Waals-Brabant
1332;Genval;Ja;RIXENSART;Waals-Brabant
1340;Ottignies;Ja;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals-Brabant
1340;OTTIGNIES-LOUVAIN-LA-NEUVE;Neen;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals-Brabant
1341;Céroux-Mousty;Ja;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals-Brabant
1342;Limelette;Ja;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals-Brabant
1348;Louvain-La-Neuve;Ja;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals-Brabant
1350;Enines;Ja;ORP-JAUCHE;Waals-Brabant
1350;Folx-Les-Caves;Ja;ORP-JAUCHE;Waals-Brabant
1350;Jandrain-Jandrenouille;Ja;ORP-JAUCHE;Waals-Brabant
1350;Jauche;Ja;ORP-JAUCHE;Waals-Brabant
1350;Marilles;Ja;ORP-JAUCHE;Waals-Brabant
1350;Noduwez;Ja;ORP-JAUCHE;Waals-Brabant
1350;ORP-JAUCHE;Neen;ORP-JAUCHE;Waals-Brabant
1350;Orp-Le-Grand;Ja;ORP-JAUCHE;Waals-Brabant
1357;HÉLÉCINE;Neen;HÉLÉCINE;Waals-Brabant
1357;Linsmeau;Ja;HÉLÉCINE;Waals-Brabant
1357;Neerheylissem;Ja;HÉLÉCINE;Waals-Brabant
1357;Opheylissem;Ja;HÉLÉCINE;Waals-Brabant
1360;Malèves-Sainte-Marie-Wastinnes;Ja;PERWEZ;Waals-Brabant
1360;Orbais;Ja;PERWEZ;Waals-Brabant
1360;PERWEZ;Neen;PERWEZ;Waals-Brabant
1360;Thorembais-Les-Béguines;Ja;PERWEZ;Waals-Brabant
1360;Thorembais-Saint-Trond;Ja;PERWEZ;Waals-Brabant
1367;Autre-Eglise;Ja;RAMILLIES;Waals-Brabant
1367;Bomal;Ja;RAMILLIES;Waals-Brabant
1367;Geest-Gérompont-Petit-Rosière;Ja;RAMILLIES;Waals-Brabant
1367;Gérompont;Ja;RAMILLIES;Waals-Brabant
1367;Grand-Rosière-Hottomont;Ja;RAMILLIES;Waals-Brabant
1367;Huppaye;Ja;RAMILLIES;Waals-Brabant
1367;Mont-Saint-André;Ja;RAMILLIES;Waals-Brabant
1367;RAMILLIES;Neen;RAMILLIES;Waals-Brabant
1370;Dongelberg;Ja;JODOIGNE;Waals-Brabant
1370;Jauchelette;Ja;JODOIGNE;Waals-Brabant
1370;JODOIGNE;Neen;JODOIGNE;Waals-Brabant
1370;Jodoigne-Souveraine;Ja;JODOIGNE;Waals-Brabant
1370;Lathuy;Ja;JODOIGNE;Waals-Brabant
1370;Mélin;Ja;JODOIGNE;Waals-Brabant
1370;Piétrain;Ja;JODOIGNE;Waals-Brabant
1370;Saint-Jean-Geest;Ja;JODOIGNE;Waals-Brabant
1370;Saint-Remy-Geest;Ja;JODOIGNE;Waals-Brabant
1370;Zétrud-Lumay;Ja;JODOIGNE;Waals-Brabant
1380;Couture-Saint-Germain;Ja;LASNE;Waals-Brabant
1380;LASNE;Neen;LASNE;Waals-Brabant
1380;Lasne-Chapelle-Saint-Lambert;Ja;LASNE;Waals-Brabant
1380;Maransart;Ja;LASNE;Waals-Brabant
1380;Ohain;Ja;LASNE;Waals-Brabant
1380;Plancenoit;Ja;LASNE;Waals-Brabant
1390;Archennes;Ja;GREZ-DOICEAU;Waals-Brabant
1390;Biez;Ja;GREZ-DOICEAU;Waals-Brabant
1390;Bossut-Gottechain;Ja;GREZ-DOICEAU;Waals-Brabant
1390;GREZ-DOICEAU;Neen;GREZ-DOICEAU;Waals-Brabant
1390;Nethen;Ja;GREZ-DOICEAU;Waals-Brabant
1400;Monstreux;Ja;NIVELLES;Waals-Brabant
1400;NIVELLES;Neen;NIVELLES;Waals-Brabant
1401;Baulers;Ja;NIVELLES;Waals-Brabant
1402;Thines;Ja;NIVELLES;Waals-Brabant
1404;Bornival;Ja;NIVELLES;Waals-Brabant
1410;WATERLOO;Neen;WATERLOO;Waals-Brabant
1420;BRAINE-L'ALLEUD;Neen;BRAINE-L'ALLEUD;Waals-Brabant
1421;Ophain-Bois-Seigneur-Isaac;Ja;BRAINE-L'ALLEUD;Waals-Brabant
1428;Lillois-Witterzée;Ja;BRAINE-L'ALLEUD;Waals-Brabant
1430;Bierghes;Ja;REBECQ;Waals-Brabant
1430;Quenast;Ja;REBECQ;Waals-Brabant
1430;REBECQ;Neen;REBECQ;Waals-Brabant
1430;Rebecq-Rognon;Ja;REBECQ;Waals-Brabant
1435;Corbais;Ja;MONT-SAINT-GUIBERT;Waals-Brabant
1435;Hévillers;Ja;MONT-SAINT-GUIBERT;Waals-Brabant
1435;MONT-SAINT-GUIBERT;Neen;MONT-SAINT-GUIBERT;Waals-Brabant
1440;BRAINE-LE-CHÂTEAU;Neen;BRAINE-LE-CHÂTEAU;Waals-Brabant
1440;Wauthier-Braine;Ja;BRAINE-LE-CHÂTEAU;Waals-Brabant
1450;CHASTRE;Neen;CHASTRE;Waals-Brabant
1450;Chastre-Villeroux-Blanmont;Ja;CHASTRE;Waals-Brabant
1450;Cortil-Noirmont;Ja;CHASTRE;Waals-Brabant
1450;Gentinnes;Ja;CHASTRE;Waals-Brabant
1450;Saint-Géry;Ja;CHASTRE;Waals-Brabant
1457;Nil-Saint-Vincent-Saint-Martin;Ja;WALHAIN;Waals-Brabant
1457;Tourinnes-Saint-Lambert;Ja;WALHAIN;Waals-Brabant
1457;WALHAIN;Neen;WALHAIN;Waals-Brabant
1457;Walhain-Saint-Paul;Ja;WALHAIN;Waals-Brabant
1460;ITTRE;Neen;ITTRE;Waals-Brabant
1460;Virginal-Samme;Ja;ITTRE;Waals-Brabant
1461;Haut-Ittre;Ja;ITTRE;Waals-Brabant
1470;Baisy-Thy;Ja;GENAPPE;Waals-Brabant
1470;Bousval;Ja;GENAPPE;Waals-Brabant
1470;GENAPPE;Neen;GENAPPE;Waals-Brabant
1471;Loupoigne;Ja;GENAPPE;Waals-Brabant
1472;Vieux-Genappe;Ja;GENAPPE;Waals-Brabant
1473;Glabais;Ja;GENAPPE;Waals-Brabant
1474;Ways;Ja;GENAPPE;Waals-Brabant
1476;Houtain-Le-Val;Ja;GENAPPE;Waals-Brabant
1480;Clabecq;Ja;TUBIZE;Waals-Brabant
1480;Oisquercq;Ja;TUBIZE;Waals-Brabant
1480;Saintes;Ja;TUBIZE;Waals-Brabant
1480;TUBIZE;Neen;TUBIZE;Waals-Brabant
1490;COURT-SAINT-ETIENNE;Neen;COURT-SAINT-ETIENNE;Waals-Brabant
1495;Marbais;Ja;VILLERS-LA-VILLE;Waals-Brabant
1495;Mellery;Ja;VILLERS-LA-VILLE;Waals-Brabant
1495;Sart-Dames-Avelines;Ja;VILLERS-LA-VILLE;Waals-Brabant
1495;Tilly;Ja;VILLERS-LA-VILLE;Waals-Brabant
1495;VILLERS-LA-VILLE;Neen;VILLERS-LA-VILLE;Waals-Brabant
1500;HALLE;Neen;HALLE;Vlaams-Brabant
1501;Buizingen;Ja;HALLE;Vlaams-Brabant
1502;Lembeek;Ja;HALLE;Vlaams-Brabant
1540;Herfelingen;Ja;HERNE;Vlaams-Brabant
1540;HERNE;Neen;HERNE;Vlaams-Brabant
1541;Sint-Pieters-Kapelle;Ja;HERNE;Vlaams-Brabant
1547;BEVER;Neen;BEVER;Vlaams-Brabant
1560;HOEILAART;Neen;HOEILAART;Vlaams-Brabant
1570;GALMAARDEN;Neen;GALMAARDEN;Vlaams-Brabant
1570;Tollembeek;Ja;GALMAARDEN;Vlaams-Brabant
1570;Vollezele;Ja;GALMAARDEN;Vlaams-Brabant
1600;Oudenaken;Ja;SINT-PIETERS-LEEUW;Vlaams-Brabant
1600;Sint-Laureins-Berchem;Ja;SINT-PIETERS-LEEUW;Vlaams-Brabant
1600;SINT-PIETERS-LEEUW;Neen;SINT-PIETERS-LEEUW;Vlaams-Brabant
1601;Ruisbroek;Ja;SINT-PIETERS-LEEUW;Vlaams-Brabant
1602;Vlezenbeek;Ja;SINT-PIETERS-LEEUW;Vlaams-Brabant
1620;DROGENBOS;Neen;DROGENBOS;Vlaams-Brabant
1630;LINKEBEEK;Neen;LINKEBEEK;Vlaams-Brabant
1640;SINT-GENESIUS-RODE;Neen;SINT-GENESIUS-RODE;Vlaams-Brabant
1650;BEERSEL;Neen;BEERSEL;Vlaams-Brabant
1651;Lot;Ja;BEERSEL;Vlaams-Brabant
1652;Alsemberg;Ja;BEERSEL;Vlaams-Brabant
1653;Dworp;Ja;BEERSEL;Vlaams-Brabant
1654;Huizingen;Ja;BEERSEL;Vlaams-Brabant
1670;Bogaarden;Ja;PEPINGEN;Vlaams-Brabant
1670;Heikruis;Ja;PEPINGEN;Vlaams-Brabant
1670;PEPINGEN;Neen;PEPINGEN;Vlaams-Brabant
1671;Elingen;Ja;PEPINGEN;Vlaams-Brabant
1673;Beert;Ja;PEPINGEN;Vlaams-Brabant
1674;Bellingen;Ja;PEPINGEN;Vlaams-Brabant
1700;DILBEEK;Neen;DILBEEK;Vlaams-Brabant
1700;Sint-Martens-Bodegem;Ja;DILBEEK;Vlaams-Brabant
1700;Sint-Ulriks-Kapelle;Ja;DILBEEK;Vlaams-Brabant
1701;Itterbeek;Ja;DILBEEK;Vlaams-Brabant
1702;Groot-Bijgaarden;Ja;DILBEEK;Vlaams-Brabant
1703;Schepdaal;Ja;DILBEEK;Vlaams-Brabant
1730;ASSE;Neen;ASSE;Vlaams-Brabant
1730;Bekkerzeel;Ja;ASSE;Vlaams-Brabant
1730;Kobbegem;Ja;ASSE;Vlaams-Brabant
1730;Mollem;Ja;ASSE;Vlaams-Brabant
1731;Relegem;Ja;ASSE;Vlaams-Brabant
1731;Zellik;Ja;ASSE;Vlaams-Brabant
1733;HighCo DATA;;HighCo DATA;
1740;TERNAT;Neen;TERNAT;Vlaams-Brabant
1741;Wambeek;Ja;TERNAT;Vlaams-Brabant
1742;Sint-Katherina-Lombeek;Ja;TERNAT;Vlaams-Brabant
1745;Mazenzele;Ja;OPWIJK;Vlaams-Brabant
1745;OPWIJK;Neen;OPWIJK;Vlaams-Brabant
1750;Gaasbeek;Ja;LENNIK;Vlaams-Brabant
1750;LENNIK;Neen;LENNIK;Vlaams-Brabant
1750;Sint-Kwintens-Lennik;Ja;LENNIK;Vlaams-Brabant
1750;Sint-Martens-Lennik;Ja;LENNIK;Vlaams-Brabant
1755;GOOIK;Neen;GOOIK;Vlaams-Brabant
1755;Kester;Ja;GOOIK;Vlaams-Brabant
1755;Leerbeek;Ja;GOOIK;Vlaams-Brabant
1755;Oetingen;Ja;GOOIK;Vlaams-Brabant
1760;Onze-Lieve-Vrouw-Lombeek;Ja;ROOSDAAL;Vlaams-Brabant
1760;Pamel;Ja;ROOSDAAL;Vlaams-Brabant
1760;ROOSDAAL;Neen;ROOSDAAL;Vlaams-Brabant
1760;Strijtem;Ja;ROOSDAAL;Vlaams-Brabant
1761;Borchtlombeek;Ja;ROOSDAAL;Vlaams-Brabant
1770;LIEDEKERKE;Neen;LIEDEKERKE;Vlaams-Brabant
1780;WEMMEL;Neen;WEMMEL;Vlaams-Brabant
1785;Brussegem;Ja;MERCHTEM;Vlaams-Brabant
1785;Hamme;Ja;MERCHTEM;Vlaams-Brabant
1785;MERCHTEM;Neen;MERCHTEM;Vlaams-Brabant
1790;AFFLIGEM;Neen;AFFLIGEM;Vlaams-Brabant
1790;Essene;Ja;AFFLIGEM;Vlaams-Brabant
1790;Hekelgem;Ja;AFFLIGEM;Vlaams-Brabant
1790;Teralfene;Ja;AFFLIGEM;Vlaams-Brabant
1800;Peutie;Ja;VILVOORDE;Vlaams-Brabant
1800;VILVOORDE;Neen;VILVOORDE;Vlaams-Brabant
1804;Cargovil;;Cargovil;
1818;VTM;;VTM;
1820;Melsbroek;Ja;STEENOKKERZEEL;Vlaams-Brabant
1820;Perk;Ja;STEENOKKERZEEL;Vlaams-Brabant
1820;STEENOKKERZEEL;Neen;STEENOKKERZEEL;Vlaams-Brabant
1830;MACHELEN;Neen;MACHELEN;Vlaams-Brabant
1831;Diegem;Ja;MACHELEN;Vlaams-Brabant
1840;LONDERZEEL;Neen;LONDERZEEL;Vlaams-Brabant
1840;Malderen;Ja;LONDERZEEL;Vlaams-Brabant
1840;Steenhuffel;Ja;LONDERZEEL;Vlaams-Brabant
1850;GRIMBERGEN;Neen;GRIMBERGEN;Vlaams-Brabant
1851;Humbeek;Ja;GRIMBERGEN;Vlaams-Brabant
1852;Beigem;Ja;GRIMBERGEN;Vlaams-Brabant
1853;Strombeek-Bever;Ja;GRIMBERGEN;Vlaams-Brabant
1860;MEISE;Neen;MEISE;Vlaams-Brabant
1861;Wolvertem;Ja;MEISE;Vlaams-Brabant
1880;KAPELLE-OP-DEN-BOS;Neen;KAPELLE-OP-DEN-BOS;Vlaams-Brabant
1880;Nieuwenrode;Ja;KAPELLE-OP-DEN-BOS;Vlaams-Brabant
1880;Ramsdonk;Ja;KAPELLE-OP-DEN-BOS;Vlaams-Brabant
1910;Berg;Ja;KAMPENHOUT;Vlaams-Brabant
1910;Buken;Ja;KAMPENHOUT;Vlaams-Brabant
1910;KAMPENHOUT;Neen;KAMPENHOUT;Vlaams-Brabant
1910;Nederokkerzeel;Ja;KAMPENHOUT;Vlaams-Brabant
1930;Nossegem;Ja;ZAVENTEM;Vlaams-Brabant
1930;ZAVENTEM;Neen;ZAVENTEM;Vlaams-Brabant
1931;Brucargo;;Brucargo;
1932;Sint-Stevens-Woluwe;Ja;ZAVENTEM;Vlaams-Brabant
1933;Sterrebeek;Ja;ZAVENTEM;Vlaams-Brabant
1934;Office Exchange Brussels Airport Remailing;;Office Exchange Brussels Airport Remailing;
1935;Corporate Village;;Corporate Village;
1950;KRAAINEM;Neen;KRAAINEM;Vlaams-Brabant
1970;WEZEMBEEK-OPPEM;Neen;WEZEMBEEK-OPPEM;Vlaams-Brabant
1980;Eppegem;Ja;ZEMST;Vlaams-Brabant
1980;ZEMST;Neen;ZEMST;Vlaams-Brabant
1981;Hofstade;Ja;ZEMST;Vlaams-Brabant
1982;Elewijt;Ja;ZEMST;Vlaams-Brabant
1982;Weerde;Ja;ZEMST;Vlaams-Brabant
2000;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2018;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2020;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2030;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2040;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2040;Berendrecht;Ja;ANTWERPEN;Antwerpen
2040;Lillo;Ja;ANTWERPEN;Antwerpen
2040;Zandvliet;Ja;ANTWERPEN;Antwerpen
2050;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2060;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2070;Burcht;Ja;ZWIJNDRECHT;Antwerpen
2070;ZWIJNDRECHT;Neen;ZWIJNDRECHT;Antwerpen
2099;Antwerpen X;;Antwerpen X;
2100;Deurne;Ja;ANTWERPEN;Antwerpen
2110;WIJNEGEM;Neen;WIJNEGEM;Antwerpen
2140;Borgerhout;Ja;ANTWERPEN;Antwerpen
2150;BORSBEEK;Neen;BORSBEEK;Antwerpen
2160;WOMMELGEM;Neen;WOMMELGEM;Antwerpen
2170;Merksem;Ja;ANTWERPEN;Antwerpen
2180;Ekeren;Ja;ANTWERPEN;Antwerpen
2200;HERENTALS;Neen;HERENTALS;Antwerpen
2200;Morkhoven;Ja;HERENTALS;Antwerpen
2200;Noorderwijk;Ja;HERENTALS;Antwerpen
2220;Hallaar;Ja;HEIST-OP-DEN-BERG;Antwerpen
2220;HEIST-OP-DEN-BERG;Neen;HEIST-OP-DEN-BERG;Antwerpen
2221;Booischot;Ja;HEIST-OP-DEN-BERG;Antwerpen
2222;Itegem;Ja;HEIST-OP-DEN-BERG;Antwerpen
2222;Wiekevorst;Ja;HEIST-OP-DEN-BERG;Antwerpen
2223;Schriek;Ja;HEIST-OP-DEN-BERG;Antwerpen
2230;HERSELT;Neen;HERSELT;Antwerpen
2230;Ramsel;Ja;HERSELT;Antwerpen
2235;Houtvenne;Ja;HULSHOUT;Antwerpen
2235;HULSHOUT;Neen;HULSHOUT;Antwerpen
2235;Westmeerbeek;Ja;HULSHOUT;Antwerpen
2240;Massenhoven;Ja;ZANDHOVEN;Antwerpen
2240;Viersel;Ja;ZANDHOVEN;Antwerpen
2240;ZANDHOVEN;Neen;ZANDHOVEN;Antwerpen
2242;Pulderbos;Ja;ZANDHOVEN;Antwerpen
2243;Pulle;Ja;ZANDHOVEN;Antwerpen
2250;OLEN;Neen;OLEN;Antwerpen
2260;Oevel;Ja;WESTERLO;Antwerpen
2260;Tongerlo;Ja;WESTERLO;Antwerpen
2260;WESTERLO;Neen;WESTERLO;Antwerpen
2260;Zoerle-Parwijs;Ja;WESTERLO;Antwerpen
2270;HERENTHOUT;Neen;HERENTHOUT;Antwerpen
2275;Gierle;Ja;LILLE;Antwerpen
2275;LILLE;Neen;LILLE;Antwerpen
2275;Poederlee;Ja;LILLE;Antwerpen
2275;Wechelderzande;Ja;LILLE;Antwerpen
2280;GROBBENDONK;Neen;GROBBENDONK;Antwerpen
2288;Bouwel;Ja;GROBBENDONK;Antwerpen
2290;VORSELAAR;Neen;VORSELAAR;Antwerpen
2300;TURNHOUT;Neen;TURNHOUT;Antwerpen
2310;RIJKEVORSEL;Neen;RIJKEVORSEL;Antwerpen
2320;HOOGSTRATEN;Neen;HOOGSTRATEN;Antwerpen
2321;Meer;Ja;HOOGSTRATEN;Antwerpen
2322;Minderhout;Ja;HOOGSTRATEN;Antwerpen
2323;Wortel;Ja;HOOGSTRATEN;Antwerpen
2328;Meerle;Ja;HOOGSTRATEN;Antwerpen
2330;MERKSPLAS;Neen;MERKSPLAS;Antwerpen
2340;BEERSE;Neen;BEERSE;Antwerpen
2340;Vlimmeren;Ja;BEERSE;Antwerpen
2350;VOSSELAAR;Neen;VOSSELAAR;Antwerpen
2360;OUD-TURNHOUT;Neen;OUD-TURNHOUT;Antwerpen
2370;ARENDONK;Neen;ARENDONK;Antwerpen
2380;RAVELS;Neen;RAVELS;Antwerpen
2381;Weelde;Ja;RAVELS;Antwerpen
2382;Poppel;Ja;RAVELS;Antwerpen
2387;BAARLE-HERTOG;Neen;BAARLE-HERTOG;Antwerpen
2390;MALLE;Neen;MALLE;Antwerpen
2390;Oostmalle;Ja;MALLE;Antwerpen
2390;Westmalle;Ja;MALLE;Antwerpen
2400;MOL;Neen;MOL;Antwerpen
2430;Eindhout;Ja;LAAKDAL;Antwerpen
2430;LAAKDAL;Neen;LAAKDAL;Antwerpen
2430;Vorst;Ja;LAAKDAL;Antwerpen
2431;Varendonk;Ja;LAAKDAL;Antwerpen
2431;Veerle;Ja;LAAKDAL;Antwerpen
2440;GEEL;Neen;GEEL;Antwerpen
2450;MEERHOUT;Neen;MEERHOUT;Antwerpen
2460;KASTERLEE;Neen;KASTERLEE;Antwerpen
2460;Lichtaart;Ja;KASTERLEE;Antwerpen
2460;Tielen;Ja;KASTERLEE;Antwerpen
2470;RETIE;Neen;RETIE;Antwerpen
2480;DESSEL;Neen;DESSEL;Antwerpen
2490;BALEN;Neen;BALEN;Antwerpen
2491;Olmen;Ja;BALEN;Antwerpen
2500;Koningshooikt;Ja;LIER;Antwerpen
2500;LIER;Neen;LIER;Antwerpen
2520;Broechem;Ja;RANST;Antwerpen
2520;Emblem;Ja;RANST;Antwerpen
2520;Oelegem;Ja;RANST;Antwerpen
2520;RANST;Neen;RANST;Antwerpen
2530;BOECHOUT;Neen;BOECHOUT;Antwerpen
2531;Vremde;Ja;BOECHOUT;Antwerpen
2540;HOVE;Neen;HOVE;Antwerpen
2547;LINT;Neen;LINT;Antwerpen
2550;KONTICH;Neen;KONTICH;Antwerpen
2550;Waarloos;Ja;KONTICH;Antwerpen
2560;Bevel;Ja;NIJLEN;Antwerpen
2560;Kessel;Ja;NIJLEN;Antwerpen
2560;NIJLEN;Neen;NIJLEN;Antwerpen
2570;DUFFEL;Neen;DUFFEL;Antwerpen
2580;Beerzel;Ja;PUTTE;Antwerpen
2580;PUTTE;Neen;PUTTE;Antwerpen
2590;BERLAAR;Neen;BERLAAR;Antwerpen
2590;Gestel;Ja;BERLAAR;Antwerpen
2600;Berchem;Ja;ANTWERPEN;Antwerpen
2610;Wilrijk;Ja;ANTWERPEN;Antwerpen
2620;HEMIKSEM;Neen;HEMIKSEM;Antwerpen
2627;SCHELLE;Neen;SCHELLE;Antwerpen
2630;AARTSELAAR;Neen;AARTSELAAR;Antwerpen
2640;MORTSEL;Neen;MORTSEL;Antwerpen
2650;EDEGEM;Neen;EDEGEM;Antwerpen
2660;Hoboken;Ja;ANTWERPEN;Antwerpen
2800;MECHELEN;Neen;MECHELEN;Antwerpen
2800;Walem;Ja;MECHELEN;Antwerpen
2801;Heffen;Ja;MECHELEN;Antwerpen
2811;Hombeek;Ja;MECHELEN;Antwerpen
2811;Leest;Ja;MECHELEN;Antwerpen
2812;Muizen;Ja;MECHELEN;Antwerpen
2820;BONHEIDEN;Neen;BONHEIDEN;Antwerpen
2820;Rijmenam;Ja;BONHEIDEN;Antwerpen
2830;Blaasveld;Ja;WILLEBROEK;Antwerpen
2830;Heindonk;Ja;WILLEBROEK;Antwerpen
2830;Tisselt;Ja;WILLEBROEK;Antwerpen
2830;WILLEBROEK;Neen;WILLEBROEK;Antwerpen
2840;Reet;Ja;RUMST;Antwerpen
2840;RUMST;Neen;RUMST;Antwerpen
2840;Terhagen;Ja;RUMST;Antwerpen
2845;NIEL;Neen;NIEL;Antwerpen
2850;BOOM;Neen;BOOM;Antwerpen
2860;SINT-KATELIJNE-WAVER;Neen;SINT-KATELIJNE-WAVER;Antwerpen
2861;Onze-Lieve-Vrouw-Waver;Ja;SINT-KATELIJNE-WAVER;Antwerpen
2870;Breendonk;Ja;PUURS-SINT-AMANDS;Antwerpen
2870;Liezele;Ja;PUURS-SINT-AMANDS;Antwerpen
2870;Puurs;Ja;PUURS-SINT-AMANDS;Antwerpen
2870;PUURS-SINT-AMANDS;Neen;PUURS-SINT-AMANDS;Antwerpen
2870;Ruisbroek;Ja;PUURS-SINT-AMANDS;Antwerpen
2880;BORNEM;Neen;BORNEM;Antwerpen
2880;Hingene;Ja;BORNEM;Antwerpen
2880;Mariekerke;Ja;BORNEM;Antwerpen
2880;Weert;Ja;BORNEM;Antwerpen
2890;Lippelo;Ja;PUURS-SINT-AMANDS;Antwerpen
2890;Oppuurs;Ja;PUURS-SINT-AMANDS;Antwerpen
2890;Sint-Amands;Ja;PUURS-SINT-AMANDS;Antwerpen
2900;SCHOTEN;Neen;SCHOTEN;Antwerpen
2910;ESSEN;Neen;ESSEN;Antwerpen
2920;KALMTHOUT;Neen;KALMTHOUT;Antwerpen
2930;BRASSCHAAT;Neen;BRASSCHAAT;Antwerpen
2940;Hoevenen;Ja;STABROEK;Antwerpen
2940;STABROEK;Neen;STABROEK;Antwerpen
2950;KAPELLEN;Neen;KAPELLEN;Antwerpen
2960;BRECHT;Neen;BRECHT;Antwerpen
